,business_id,short_inspect_date,risk_category,short_violation_id,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
170,4874,20160502,Low Risk,103149,4,0,4,0,0,0,3
171,66255,20161206,Moderate Risk,103124,2,0,0,0,0,0,4
172,83553,20160928,Moderate Risk,103120,2,0,0,0,0,0,2
173,2943,20160510,Low Risk,103139,0,7,0,0,0,0,5
174,6654,20160121,Moderate Risk,103120,7,0,9,0,0,0,11
175,60518,20160511,Moderate Risk,103132,0,0,5,0,0,0,5
176,79753,20161014,Low Risk,103139,0,0,0,0,0,0,3
177,1641,20160812,Low Risk,103145,0,0,4,6,0,0,6
178,32862,20160628,Moderate Risk,103124,0,2,0,0,0,0,2
179,88433,20161118,Moderate Risk,103124,0,0,0,0,0,0,1
180,78756,20160519,Low Risk,103157,0,0,0,0,0,0,2
181,62900,20161017,Moderate Risk,103116,4,0,0,0,0,7,4
182,39053,20160812,Low Risk,103157,0,0,0,0,0,0,4
183,70225,20160223,Low Risk,103161,0,2,0,0,0,0,3
184,16349,20180227,Low Risk,103157,5,0,3,4,0,3,4
185,5033,20170104,Low Risk,103147,0,0,2,0,0,0,3
186,68254,20160628,Low Risk,103145,0,0,0,0,0,0,3
187,76685,20171208,Low Risk,103149,0,6,5,0,0,4,3
188,2249,20171204,Low Risk,103144,0,5,0,0,0,4,3
189,5853,20180227,Low Risk,103147,2,1,0,0,0,1,1
190,85097,20151009,Moderate Risk,103124,0,0,0,0,0,0,1
191,60823,20171113,Low Risk,103154,0,3,0,0,0,2,3
192,4797,20171130,Moderate Risk,103132,0,4,0,3,0,3,4
193,60555,20160518,Low Risk,103149,0,0,0,0,0,1,2
194,1843,20160216,High Risk,103102,0,9,0,0,0,0,7
195,3429,20161202,Moderate Risk,103130,0,4,0,0,0,0,3
196,1579,20171211,Moderate Risk,103120,0,3,0,0,0,3,3
197,59153,20161020,Low Risk,103139,0,7,0,0,0,0,8
198,37462,20160520,Moderate Risk,103120,0,2,0,0,0,0,1
199,6863,20160328,Low Risk,103149,4,0,4,0,0,0,1
200,88340,20160811,Low Risk,103139,0,0,3,0,0,0,1
201,70459,20151202,Low Risk,103144,0,4,0,0,0,0,3
202,67743,20161019,Low Risk,103154,0,0,0,0,0,4,6
203,64076,20160412,Low Risk,103154,0,5,0,0,0,4,4
204,63258,20160607,Low Risk,103157,0,0,0,0,0,0,4
205,81328,20171208,High Risk,103114,1,3,0,0,0,0,5
206,61856,20160413,Low Risk,103156,0,0,0,3,0,0,3
207,386,20160429,Low Risk,103147,0,6,0,0,0,0,8
208,4804,20161206,Low Risk,103150,0,4,0,0,0,0,4
209,2724,20160929,Moderate Risk,103119,3,0,3,0,0,3,2
210,1434,20161205,Low Risk,103141,0,3,0,0,0,2,2
211,5813,20151021,Moderate Risk,103120,2,1,0,0,0,0,1
212,1754,20161202,Moderate Risk,103119,0,4,0,0,0,6,5
213,3328,20160510,Low Risk,103161,1,0,0,0,0,0,4
214,5841,20160506,Low Risk,103144,0,0,0,2,0,0,3
215,4801,20161110,Moderate Risk,103119,0,1,0,0,0,0,2
216,82538,20180222,Moderate Risk,103131,1,0,0,0,0,0,1
217,67567,20170104,Moderate Risk,103124,3,0,0,0,0,0,2
218,3476,20180226,Low Risk,103139,2,0,0,0,0,0,4
219,82803,20160810,Moderate Risk,103127,0,0,0,0,0,0,1
220,7744,20160809,Low Risk,103144,0,0,4,0,0,0,1
221,9869,20160520,Low Risk,103154,1,0,0,0,0,0,1
222,2898,20150818,Low Risk,103150,0,0,0,0,0,6,3
223,19373,20180103,Moderate Risk,103132,7,0,0,7,0,0,7
224,5990,20160930,Low Risk,103157,0,0,0,0,0,1,1
225,69618,20171213,Low Risk,103139,0,8,0,0,0,0,5
226,80442,20171004,Moderate Risk,103131,0,2,0,0,0,0,3
227,69351,20171207,Low Risk,103142,0,4,0,0,0,7,5
228,87762,20170808,Low Risk,103158,4,0,6,0,0,0,4
229,3031,20160929,Moderate Risk,103116,2,0,7,0,0,0,6
230,65580,20160511,Moderate Risk,103118,0,0,4,0,0,0,4
231,71761,20160325,Low Risk,103154,0,0,0,0,0,1,2
232,24431,20171213,Low Risk,103161,0,3,0,0,0,2,2
233,78371,20160814,Moderate Risk,103120,0,0,1,2,0,0,1
234,37882,20160322,Low Risk,103139,0,0,0,0,0,0,5
235,5940,20170925,High Risk,103114,0,0,1,0,0,0,2
236,88117,20170928,Low Risk,103161,0,0,2,0,0,0,0
237,1399,20160503,Low Risk,103149,0,1,0,0,0,0,1
238,3189,20160510,Low Risk,103157,0,0,0,0,0,0,3
239,86116,20161229,Low Risk,103156,0,0,3,0,0,0,2
240,81978,20180227,Low Risk,103142,5,0,0,9,0,11,1
241,81309,20160219,High Risk,103103,5,0,0,0,0,6,1
242,3405,20171212,High Risk,103109,0,3,0,0,0,0,4
243,4654,20170425,Low Risk,103139,0,0,0,4,0,0,6
244,2369,20160324,Moderate Risk,103120,4,0,5,0,0,0,4
245,4917,20160906,Low Risk,103142,0,0,0,0,0,0,8
