,Unnamed: 0,Unnamed: 0.1,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,short_inspect_date,short_violation_id,inspect_date,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
63,63,88,87099,Corridor,100 Van Ness Ave #A,San Francisco,CA,94102,,,,,87099_20161110,11/10/2016 0:00,94.0,Routine - Unscheduled,87099_20161110_103157,Food safety certificate or food handler card not available,Low Risk,20161110,103157,2016-11-10,0,0,4,0,3,0,0
64,64,89,69353,Aria,932 Larkin St,San Francisco,CA,94109,37.786565,-122.418116,"(37.786565, -122.418116)",,69353_20160907,9/7/2016 0:00,86.0,Routine - Unscheduled,69353_20160907_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160907,103149,2016-09-07,4,0,7,0,0,5,7
65,65,90,58850,Woerner's Liquor,901 Geary St,San Francisco,CA,94109,37.786053,-122.418327,"(37.786053, -122.418327)",,58850_20160906,9/6/2016 0:00,79.0,Routine - Unscheduled,58850_20160906_103156,Permit license or inspection report not posted,Low Risk,20160906,103156,2016-09-06,2,0,3,0,0,6,5
66,66,91,74283,Pizza Express,813 Cortland Ave,San Francisco,CA,94110,,,,14155303323.0,74283_20170824,8/24/2017 0:00,,Complaint,74283_20170824_103154,Unclean or degraded floors walls or ceilings,Low Risk,20170824,103154,2017-08-24,9,0,4,0,5,7,5
67,67,92,32586,Terroir,81 Langton St,San Francisco,CA,94103,37.776494,-122.40856200000002,"(37.776494, -122.408562)",14155718949.0,32586_20160906,9/6/2016 0:00,96.0,Routine - Unscheduled,32586_20160906_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160906,103144,2016-09-06,0,0,0,0,0,2,0
68,68,93,2627,BURGERMEISTER,Church St,San Francisco,CA,94114,37.768776,-122.42909499999999,"(37.768776, -122.429095)",14155432874.0,2627_20170105,1/5/2017 0:00,86.0,Routine - Unscheduled,2627_20170105_103138,Improper storage use or identification of toxic substances,Low Risk,20170105,103138,2017-01-05,0,0,0,0,5,0,4
69,69,97,36048,Nas Coffee,101 Spear St A-9,San Francisco,CA,94105,37.792577,-122.393992,"(37.792577, -122.393992)",,36048_20170926,9/26/2017 0:00,94.0,Routine - Unscheduled,36048_20170926_103156,Permit license or inspection report not posted,Low Risk,20170926,103156,2017-09-26,0,0,2,0,6,0,0
70,70,98,70685,5 Degree Tea House,2527 SAN BRUNO Ave,San Francisco,CA,94134,37.729753,-122.40446999999999,"(37.729753, -122.40447)",14155828233.0,70685_20171212,12/12/2017 0:00,86.0,Routine - Unscheduled,70685_20171212_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20171212,103119,2017-12-12,0,4,0,0,3,4,2
71,71,99,91934,"Keep It, Inc.",1170 Powell St,San Francisco,CA,94108,,,,,91934_20170928,9/28/2017 0:00,94.0,Routine - Unscheduled,91934_20170928_103154,Unclean or degraded floors walls or ceilings,Low Risk,20170928,103154,2017-09-28,0,0,3,0,0,0,0
72,72,100,13671,AFC SUSHI @SAFEWAY 2606,298 KING STREET,San Francisco,CA,94107,37.776491,-122.394175,"(37.776491, -122.394175)",,13671_20180227,2/27/2018 0:00,89.0,Routine - Unscheduled,13671_20180227_103102,Unclean hands or improper use of gloves,High Risk,20180227,103102,2018-02-27,2,0,0,0,0,2,0
